epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3561.17,0.36765,0.52742,0.45985,0.87867,0,0.97584,0.92047,0.98149,0.91013,0.98062,0.92501,0.9844,0.88809,0.35416,0.5929,0.49523,0.86388,0,0.000517059,0.000517059,0.000517059
29,3687.74,0.35742,0.5286,0.44298,0.87348,0,0.95845,0.94726,0.9813,0.91786,0.96294,0.95167,0.97997,0.89289,0.35636,0.57984,0.47345,0.86118,0,0.000495062,0.000495062,0.000495062
30,3827.11,0.3689,0.57291,0.4377,0.87041,0,0.96492,0.95089,0.98184,0.91028,0.96878,0.9571,0.98001,0.89183,0.35763,0.56849,0.47223,0.85323,0,0.000473064,0.000473064,0.000473064
31,3964.09,0.37406,0.56962,0.45605,0.87889,0,0.93926,0.94542,0.97839,0.90503,0.94647,0.95195,0.98089,0.88677,0.38945,0.58951,0.50869,0.87561,0,0.000451066,0.000451066,0.000451066
32,4104.53,0.35962,0.53969,0.43315,0.86755,0,0.93665,0.95229,0.97568,0.89056,0.94525,0.95737,0.97877,0.86487,0.40229,0.64429,0.50686,0.89275,0,0.000429068,0.000429068,0.000429068
33,4242.45,0.35917,0.55747,0.43846,0.86915,0,0.96756,0.94261,0.97962,0.91658,0.9673,0.94261,0.97685,0.89108,0.34222,0.57099,0.46443,0.85934,0,0.00040707,0.00040707,0.00040707
34,4381.35,0.3486,0.51608,0.4285,0.86908,0,0.9488,0.95877,0.97684,0.90523,0.95326,0.96332,0.97787,0.88736,0.38129,0.59559,0.47747,0.88028,0,0.000385073,0.000385073,0.000385073
35,4520.48,0.34895,0.54721,0.41477,0.8651,0,0.95535,0.95189,0.97913,0.90384,0.96165,0.95585,0.98079,0.8866,0.35627,0.56694,0.46736,0.88204,0,0.000363075,0.000363075,0.000363075
36,4660.87,0.3431,0.51452,0.40631,0.86812,0,0.94357,0.96749,0.98421,0.92093,0.94808,0.97203,0.98203,0.89245,0.33732,0.55998,0.45448,0.85626,0,0.000341077,0.000341077,0.000341077
37,4799.38,0.3378,0.52982,0.39709,0.86277,0,0.95011,0.95989,0.9819,0.91543,0.95695,0.96665,0.98572,0.89828,0.33853,0.53546,0.4411,0.85667,0,0.000319079,0.000319079,0.000319079
